CMN_DF_000020_20150228_F000000CW	3389	3600
CMN_DF_000020_20150301_F000000CN	2104	2251
CMN_DF_000020_20150301_F000000CN	3869	3911
CMN_DF_000020_20150301_F000000CN	7902	9406
CMN_DF_000020_20150301_F000000CN	9862	11641
CMN_DF_000020_20150301_F000000CN	11745	11793
CMN_DF_000020_20150301_F000000CN	13897	13977
CMN_DF_000020_20150301_F000000CN	14079	14143
CMN_DF_000020_20150301_F000000CN	17446	17731
CMN_DF_000020_20150301_F000000CN	19976	21904
CMN_DF_000181_20140726_F000000BW	717	764
CMN_DF_000181_20140726_F000000BW	1171	1226
CMN_DF_000181_20140726_F000000BW	1561	1675
CMN_DF_000181_20140726_F000000BW	1799	1850
CMN_DF_000181_20140726_F000000BW	2392	2479
CMN_DF_000181_20140726_F000000BW	2707	2759
CMN_DF_000181_20140830_F000000DG	2354	2428
CMN_DF_000181_20140830_F000000DG	2627	2726
CMN_DF_000181_20140830_F000000DG	3219	3440
CMN_DF_000181_20140830_F000000DG	3674	3767
CMN_DF_000181_20140830_F000000DG	4297	4414
CMN_DF_000181_20140830_F000000DG	4705	4749
CMN_DF_000181_20140830_F000000DG	4942	5025
CMN_DF_000181_20140830_F000000DG	5127	5204
CMN_DF_000181_20140830_F000000DG	5894	5935
CMN_DF_000181_20140830_F000000DG	7142	7276
CMN_DF_000181_20140830_F000000DG	8152	8288
CMN_DF_000181_20140830_F000000DG	9424	9686
CMN_DF_000181_20140830_F000000DG	10048	10260
CMN_DF_000181_20140830_F000000DG	11179	11273
CMN_DF_000181_20140830_F000000DG	11533	11591
CMN_DF_000181_20140830_F000000DG	12771	12836
CMN_DF_000181_20141005_F000000DK	674	751
CMN_DF_000181_20141005_F000000DK	5547	5596
CMN_DF_000181_20141005_F000000DK	5772	5985
CMN_DF_000181_20141005_F000000DK	6321	6470
CMN_DF_000181_20141005_F000000DK	6601	6666
CMN_DF_000181_20141005_F000000DK	6796	6865
CMN_DF_000181_20141005_F000000DK	7004	7129
CMN_DF_000181_20141005_F000000DK	7608	7659
CMN_DF_000181_20141015_F000000CB	1404	1457
CMN_DF_000181_20141015_F000000CB	4996	5050
CMN_DF_000181_20141015_F000000CB	5558	5776
CMN_DF_000181_20141015_F000000CB	5872	5946
CMN_DF_000181_20141021_F000000C9	1166	1218
CMN_DF_000181_20141021_F000000C9	3044	3131
CMN_DF_000181_20141021_F000000C9	3240	3450
CMN_DF_000181_20141021_F000000C9	5211	5258
CMN_DF_000181_20141021_F000000C9	5348	5408
CMN_DF_000181_20141021_F000000C9	5550	5599
CMN_DF_000181_20141021_F000000C9	5829	5913
CMN_DF_000181_20141021_F000000C9	6142	6222
CMN_DF_000181_20141021_F000000C9	7887	7931
CMN_DF_000181_20141021_F000000C9	8022	8769
CMN_DF_000181_20141021_F000000C9	9050	9651
CMN_DF_000181_20141021_F000000C9	9739	9897
CMN_DF_000181_20141022_F000000BZ	1773	1852
CMN_DF_000181_20141022_F000000BZ	2902	3001
CMN_DF_000181_20141022_F000000BZ	3642	3745
CMN_DF_000181_20141022_F000000BZ	4114	4296
CMN_DF_000181_20141022_F000000BZ	5108	5226
CMN_DF_000181_20141022_F000000BZ	6792	7021
CMN_DF_000181_20141022_F000000BZ	7189	7271
CMN_DF_000181_20141025_F000000CC	598	655
CMN_DF_000181_20141025_F000000CC	1465	1579
CMN_DF_000181_20141025_F000000CC	1668	1709
CMN_DF_000181_20141025_F000000CC	1832	1870
CMN_DF_000181_20141025_F000000CC	2511	2595
CMN_DF_000181_20141025_F000000CC	2884	2949
CMN_DF_000181_20141025_F000000CC	3358	3456
CMN_DF_000181_20141025_F000000CC	3577	3632
CMN_DF_000181_20141025_F000000CC	3873	3926
CMN_DF_000181_20141025_F000000CC	4320	4385
CMN_DF_000181_20141025_F000000CC	4562	4631
CMN_DF_000181_20141025_F000000CC	5173	5304
CMN_DF_000181_20141025_F000000CC	6624	6996
CMN_DF_000181_20141025_F000000CC	7130	7240
CMN_DF_000181_20141025_F000000CC	7756	7906
CMN_DF_000181_20141025_F000000CC	9254	9329
CMN_DF_000181_20141025_F000000CC	10261	10440
CMN_DF_000181_20141025_F000000CC	10778	10943
CMN_DF_000181_20141025_F000000CC	12043	12127
CMN_DF_000181_20141025_F000000CC	12596	12646
CMN_DF_000181_20141025_F000000CC	12810	12886
CMN_DF_000181_20141025_F000000CC	14504	14616
CMN_DF_000181_20141025_F000000CC	14982	15226
CMN_DF_000181_20141025_F000000CC	15712	15831
CMN_DF_000181_20141025_F000000CC	16345	16512
CMN_DF_000181_20141025_F000000CC	16662	16709
CMN_DF_000181_20141025_F000000CC	17137	17261
CMN_DF_000181_20141025_F000000CC	17631	17736
CMN_DF_000181_20141025_F000000CC	18319	18388
CMN_DF_000181_20141025_F000000CC	19573	19677
CMN_DF_000181_20141025_F000000CC	20730	20806
CMN_DF_000181_20141030_F000000DF	2540	2778
CMN_DF_000181_20141030_F000000DF	3052	3144
CMN_DF_000181_20141030_F000000DF	3468	3526
CMN_DF_000181_20141030_F000000DF	4672	4915
CMN_DF_000181_20141030_F000000DF	9309	9512
CMN_DF_000181_20141030_F000000DF	11419	11561
CMN_DF_000181_20141030_F000000DF	12752	12945
CMN_DF_000181_20141111_F000000DI	2971	3207
CMN_DF_000181_20141111_F000000DI	3646	3728
CMN_DF_000181_20141111_F000000DI	3828	3888
CMN_DF_000181_20141111_F000000DI	4222	4287
CMN_DF_000181_20141111_F000000DI	4435	4519
CMN_DF_000181_20141201_F000000D1	807	1400
CMN_DF_000181_20141201_F000000D1	2097	2156
CMN_DF_000181_20141201_F000000D1	3702	3759
CMN_DF_000181_20141201_F000000D1	3927	3978
CMN_DF_000181_20141201_F000000D1	5017	5255
CMN_DF_000181_20141201_F000000D1	6602	6688
CMN_DF_000181_20141201_F000000D1	7222	7403
CMN_DF_000181_20141201_F000000D1	9050	9088
CMN_DF_000181_20141201_F000000D1	10438	10545
CMN_DF_000181_20141201_F000000D1	10739	10794
CMN_DF_000181_20141201_F000000D1	13106	13175
CMN_DF_000181_20141201_F000000D1	15576	17423
CMN_DF_000181_20141201_F000000D1	18771	19051
CMN_DF_000181_20141201_F000000D1	19702	19796
CMN_DF_000181_20141201_F000000D1	21090	21187
CMN_DF_000181_20141204_F000000D3	1356	1492
CMN_DF_000181_20141204_F000000D3	1936	2007
CMN_DF_000181_20141204_F000000D3	2342	2437
CMN_DF_000181_20141204_F000000D3	2878	2972
CMN_DF_000181_20141204_F000000D3	3421	3604
CMN_DF_000181_20141204_F000000D3	3701	3764
CMN_DF_000181_20141204_F000000D3	4250	4307
CMN_DF_000181_20141204_F000000D3	4805	4983
CMN_DF_000181_20141204_F000000D3	5519	5682
CMN_DF_000181_20141204_F000000D3	7033	7074
CMN_DF_000181_20141204_F000000D3	7337	7414
CMN_DF_000181_20141204_F000000D3	8111	8181
CMN_DF_000181_20141204_F000000D3	9304	9408
CMN_DF_000181_20141204_F000000D3	9870	10021
CMN_DF_000181_20141204_F000000D3	10548	10666
CMN_DF_000181_20141204_F000000D3	12270	12402
CMN_DF_000181_20141204_F000000D3	13078	13162
CMN_DF_000181_20141212_F000000D4	2372	2487
CMN_DF_000181_20141218_F000000CL	1063	1120
CMN_DF_000181_20141218_F000000CL	1654	1705
CMN_DF_000181_20141218_F000000CL	2152	2209
CMN_DF_000181_20141218_F000000CL	3339	3425
CMN_DF_000181_20150228_F000000BX	2120	2165
CMN_DF_000181_20150228_F000000BX	2642	2701
CMN_DF_000181_20150228_F000000BX	2815	3036
CMN_DF_000181_20150228_F000000BX	3200	3278
CMN_DF_000181_20150228_F000000BX	3746	3895
CMN_DF_000181_20150228_F000000BX	3981	4066
CMN_DF_000181_20150228_F000000BX	4528	4593
CMN_DF_000181_20150228_F000000BX	5959	6038
CMN_DF_000181_20150302_F000000C6	1606	1780
CMN_DF_000181_20150302_F000000C6	2409	2481
CMN_DF_000181_20150302_F000000C6	2915	3064
CMN_DF_000181_20150302_F000000C6	4567	4623
CMN_DF_000181_20150302_F000000C6	4779	4893
CMN_DF_000181_20150302_F000000C6	5965	6054
CMN_DF_000181_20150302_F000000C6	6505	6602
CMN_DF_000181_20150302_F000000C6	7285	7354
CMN_DF_000181_20150302_F000000C6	7607	7746
CMN_DF_000181_20150302_F000000C6	8511	8562
CMN_DF_000181_20150302_F000000C6	9212	9456
CMN_DF_000181_20150302_F000000C6	10293	10393
CMN_DF_000181_20150302_F000000C6	10568	10618
CMN_DF_000181_20150302_F000000C6	10833	10915
CMN_DF_000181_20150302_F000000C6	11136	11227
CMN_DF_000181_20150319_F000000DH	726	790
CMN_DF_000181_20150319_F000000DH	1652	1890
