li	TEDL15_0	中国	CMN_NW_001163_20150804_F0010000S:156-157	m.0d05w3	GPE	NAM	1.0
li	TEDL15_1	中国	CMN_NW_001163_20150804_F0010000S:202-203	m.0d05w3	GPE	NAM	1.0
li	TEDL15_2	中国	CMN_NW_001163_20150804_F0010000S:298-299	m.0d05w3	GPE	NAM	1.0
li	TEDL15_3	沪	CMN_NW_001163_20150804_F0010000S:327-327	m.0dsd7z8	GPE	NAM	1.0
li	TEDL15_4	中国	CMN_NW_001163_20150804_F0010000S:415-416	m.0d05w3	GPE	NAM	1.0
li	TEDL15_5	中国	CMN_NW_001163_20150804_F0010000S:452-453	m.0d05w3	GPE	NAM	1.0
li	TEDL15_6	中国沪深交易所	CMN_NW_001163_20150804_F0010000S:541-547	NIL0	ORG	NAM	1.0
li	TEDL15_7	中国	CMN_NW_001163_20150804_F0010000S:541-542	m.0d05w3	GPE	NAM	1.0
li	TEDL15_8	沪	CMN_NW_001163_20150804_F0010000S:543-543	m.0dsd7z8	GPE	NAM	1.0
li	TEDL15_9	沪深交易所	CMN_NW_001163_20150804_F0010000S:583-587	NIL1	ORG	NAM	1.0
li	TEDL15_10	沪	CMN_NW_001163_20150804_F0010000S:583-583	m.0dsd7z8	GPE	NAM	1.0
li	TEDL15_11	中国	CMN_NW_001163_20150804_F0010000S:703-704	m.0d05w3	GPE	NAM	1.0
li	TEDL15_12	中信证券	CMN_NW_001163_20150804_F0010000S:714-717	m.0466q8n	ORG	NAM	1.0
li	TEDL15_13	长城	CMN_NW_001163_20150804_F0010000S:778-779	m.0d2dq0	GPE	NAM	1.0
li	TEDL15_14	中国	CMN_NW_001163_20150804_F0010000S:880-881	m.0d05w3	GPE	NAM	1.0
li	TEDL15_15	中国	CMN_NW_001163_20150804_F0010000S:960-961	m.0d05w3	GPE	NAM	1.0
li	TEDL15_16	中国	CMN_NW_001163_20150804_F0010000S:1104-1105	m.0d05w3	GPE	NAM	1.0
li	TEDL15_17	证金公司	CMN_NW_001163_20150804_F0010000S:1150-1153	NIL2	ORG	NAM	1.0
li	TEDL15_18	证金公司	CMN_NW_001163_20150804_F0010000S:1211-1214	NIL2	ORG	NAM	1.0
li	TEDL15_19	众议院	CMN_NW_001351_20150705_F00100020:232-234	m.0b3wk	ORG	NAM	1.0
li	TEDL15_20	町村信孝家	CMN_NW_001351_20150705_F00100020:237-241	NIL3	PER	NAM	1.0
li	TEDL15_21	安倍	CMN_NW_001351_20150705_F00100020:261-262	m.05bszp	PER	NAM	1.0
li	TEDL15_22	安倍晋三	CMN_NW_001351_20150705_F00100020:300-303	m.07t7hy	PER	NAM	1.0
li	TEDL15_23	日本	CMN_NW_001351_20150705_F00100020:307-308	m.03_3d	GPE	NAM	1.0
li	TEDL15_24	南海	CMN_NW_001351_20150705_F00100020:386-387	m.0jtx4	LOC	NAM	1.0
li	TEDL15_25	中国	CMN_NW_001351_20150705_F00100020:390-391	m.0d05w3	GPE	NAM	1.0
li	TEDL15_26	美军	CMN_NW_001351_20150705_F00100020:406-407	m.096sv3	ORG	NAM	1.0
li	TEDL15_27	南海	CMN_NW_001351_20150705_F00100020:415-416	m.0jtx4	LOC	NAM	1.0
